,id_vendedor,dias_atividade,datas_distintas_de_venda,%_de_atividade,vendas_por_dia_de_atividade,avaliacao_media,qtd_pedidos,qtd_produtos,media_produtos_por_pedido,receita_total,media_valor_pedido_sem_frete,media_valor_pedido_com_frete,media_valor_frete,prop_pedidos_atrasados,dias_sem_vender,tempo_de_postagem
1,e3a386fc36e22064434e1fa256f6a9fa,205,14,0.07,1.14,4.25,16,17,1.06,791,49.44,65.19,15.75,0.18,18,2
2,"""0aa2205ca24f113f4658a5c536667426""",118,4,0.03,1.0,5.0,4,11,2.75,816,204.0,246.75,42.75,0.0,20,6
3,"""640e21a7d01df7614a3b4923e990d40c""",162,73,0.45,1.58,3.98,115,136,1.18,7529,65.47,86.7,21.23,0.07,9,2
4,"""2156f2671501a81034d7d07f217609d0""",320,19,0.06,1.05,3.8,20,20,1.0,2861,143.05,161.75,18.7,0.15,38,3
5,f46490624488d3ff7ce78613913a7711,92,51,0.55,1.57,3.14,80,87,1.09,5696,71.2,92.38,21.18,0.11,12,2
6,b586cd24c010a13916af621b0325fbba,68,6,0.09,1.0,4.0,6,7,1.17,1109,184.83,228.83,44.0,0.0,11,2
7,"""70125af26c2d6d4ef401a1d02ae7701f""",45,5,0.11,1.0,4.25,5,8,1.6,372,74.4,125.6,51.2,0.5,16,2
8,"""0bfd0b434243adc5c2e1aa6baf19c6aa""",104,6,0.06,1.0,4.0,6,6,1.0,373,62.17,73.0,10.83,0.0,212,10
9,"""13d95f0f6f73943d4ceffad0fc2cd32c""",1,1,1.0,1.0,2.5,1,1,1.0,250,250.0,309.0,59.0,1.0,173,4
10,e5a3438891c0bfdb9394643f95273d8e,216,117,0.54,1.63,3.83,191,221,1.16,6445,33.74,48.79,15.04,0.2,145,2
11,"""594f9aaa48e5bf431f011ddc5669b0d5""",124,34,0.27,1.09,4.65,37,38,1.03,3253,87.92,111.95,24.03,0.03,7,3
12,"""2ec6e37d992a95eaddb3369dcbcc76d9""",1,1,1.0,1.0,2.5,1,1,1.0,80,80.0,97.0,17.0,0.0,331,4
13,"""3dfd3dc96f7f8598eca74e9ac8a2fa31""",216,6,0.03,1.0,5.0,6,6,1.0,183,30.5,43.17,12.67,0.17,79,3
14,"""3e51f9cbe317bc3a88f2c76583811ee4""",1,1,1.0,1.0,5.0,1,1,1.0,76,76.0,85.0,9.0,0.0,20,3
15,cac876b37d3abcd6bd76caca30277996,164,27,0.16,1.0,4.75,27,33,1.22,2231,82.63,109.44,26.81,0.15,39,4
16,e0eabded302882513ced4ea3eb0c7059,63,8,0.13,1.0,5.0,8,8,1.0,979,122.38,139.38,17.0,0.0,92,3
17,"""643214e62b870443ccbe55ab29a4dccf""",327,59,0.18,1.1,4.71,65,66,1.02,3237,49.8,63.49,13.69,0.14,12,2
18,"""13c2ed7698b3ca92dad49e849219da59""",212,8,0.04,1.0,5.0,8,9,1.12,499,62.38,81.62,19.25,0.0,32,3
19,"""0daf5180aa44356f60f8effa533b55a2""",24,2,0.08,1.0,2.5,2,2,1.0,145,72.5,92.0,19.5,0.5,12,1
20,"""51ed72984a04e5dd35c2b27e77179038""",165,5,0.03,1.4,2.5,7,7,1.0,1295,185.0,213.43,28.43,0.14,132,3
21,"""013900e863eace745d3ec7614cab5b1a""",153,20,0.13,1.0,4.56,20,21,1.05,1316,65.8,84.9,19.1,0.0,143,2
22,a4bd6e9adf39b63f43dc545d3ca1f53d,1,1,1.0,1.0,2.5,1,2,2.0,300,300.0,336.0,36.0,0.0,122,6
23,fdaaf5bfda82b7b80535610c831b8d09,244,10,0.04,1.0,5.0,10,15,1.5,2590,259.0,285.0,26.0,0.2,120,5
24,"""7cb946b1ad19faebe28c3e86c2794ec3""",1,1,1.0,1.0,2.5,1,1,1.0,25,25.0,40.0,15.0,0.0,291,5
25,"""0ade5cc4a305ed7093a23f68ca47519c""",60,2,0.03,1.0,5.0,2,2,1.0,159,79.5,100.5,21.0,0.0,224,4
26,"""2c00c85d30361cd2ced2969cffbbffa3""",1,1,1.0,1.0,5.0,1,1,1.0,50,50.0,58.0,8.0,0.0,140,3
27,fa40cc5b934574b62717c68f3d678b6d,260,102,0.39,1.31,4.21,134,149,1.11,7012,52.33,66.44,14.11,0.09,105,3
28,ea566164622c6b439516ab18062c42cd,282,44,0.16,1.14,3.68,50,52,1.04,10312,206.24,223.32,17.08,0.23,14,2
29,"""32f83ffe11cd40f7adcf4eef171f52d9""",1,1,1.0,1.0,2.5,1,1,1.0,30,30.0,45.0,15.0,0.0,286,4
30,c00396cbdd2e088fe4281baa5920aef1,1,1,1.0,1.0,2.5,1,3,3.0,831,831.0,903.0,72.0,0.0,152,0
31,"""6426d21aca402a131fc0a5d0960a3c90""",30,4,0.13,1.0,4.0,4,4,1.0,223,55.75,69.0,13.25,0.0,334,5
32,e0482f2c769468c3bbcd8a01e09d98c5,1,1,1.0,1.0,2.5,1,1,1.0,189,189.0,234.0,45.0,0.0,24,3
33,"""1b7e5006cb25dd23ce8686691013b121""",308,11,0.04,1.0,4.4,11,11,1.0,2637,239.73,253.27,13.55,0.18,31,0
34,"""822166ed1e47908f7cfb49946d03c726""",317,53,0.17,1.06,3.47,56,88,1.57,2817,50.3,76.68,26.38,0.01,42,2
35,"""91543f9849d68d023e17194926598543""",96,2,0.02,1.0,2.5,2,2,1.0,188,94.0,116.5,22.5,0.0,193,1
36,f0ec78809fe0bc3edb11c9fe5b97b059,40,2,0.05,1.0,3.0,2,2,1.0,63,31.5,43.0,11.5,0.0,47,1
37,d4a5e99e0dd915df64ba55a7fbd583fd,1,1,1.0,2.0,1.0,2,6,3.0,63,31.5,73.5,42.0,0.0,312,1
38,"""8a2d12a90e92f012ce5226fc6592b653""",245,17,0.07,1.06,4.14,18,19,1.06,1715,95.28,115.22,19.94,0.0,9,2
39,"""3fe7120d6257285ac6a3ce7cb071ccec""",6,2,0.33,1.0,2.5,2,2,1.0,200,100.0,114.0,14.0,0.0,236,2
40,"""07de60b03d150fb3ea09eab5da5e4c8b""",199,9,0.05,1.0,4.75,9,9,1.0,720,80.0,98.89,18.89,0.11,16,4
41,a36b125ac6d5fdbc7f50de85c9157bdc,298,10,0.03,1.0,4.17,10,12,1.2,1094,109.4,128.3,18.9,0.08,30,3
42,ce69a8021d18961dd2a40269b7c2c293,147,16,0.11,1.19,5.0,19,19,1.0,4819,253.63,278.58,24.95,0.11,14,4
43,"""461ff5303b6c9c1a4a07f40c5aece516""",141,3,0.02,1.0,2.5,3,3,1.0,103,34.33,53.67,19.33,0.0,51,3
44,ead2bab70821ea148476ae9bc08548ac,301,9,0.03,1.0,4.0,9,9,1.0,413,45.89,58.67,12.78,0.0,33,3
45,dee656f0f566ed1aa85bd137c943f08f,318,74,0.23,1.24,4.24,92,94,1.02,6219,67.6,85.75,18.15,0.05,11,3
46,"""343e716476e3748b069f980efbaa294e""",331,13,0.04,1.08,4.56,14,21,1.5,805,57.5,77.79,20.29,0.05,24,0
47,f7720c4fa8e3aba4546301ab80ea1f1b,343,47,0.14,1.11,4.33,52,70,1.35,1865,35.87,58.88,23.02,0.03,16,3
48,"""6806dad1da97bfb5a9038eac6881f706""",238,8,0.03,1.25,4.0,10,15,1.5,1576,157.6,189.7,32.1,0.07,12,3
49,"""0bb738e4d789e63e2267697c42d35a2d""",262,23,0.09,1.04,4.75,24,24,1.0,2191,91.29,113.17,21.88,0.04,75,4
50,"""7d484ca289afaac6bf5fc6a1e96d2226""",11,2,0.18,1.0,2.5,2,2,1.0,183,91.5,124.5,33.0,0.5,17,4
51,"""16090f2ca825584b5a147ab24aa30c86""",358,187,0.52,1.91,4.15,357,365,1.02,20374,57.07,70.54,13.46,0.11,7,3
52,"""8378eb36b6b70c5734e83ad7b8cdc3b7""",198,7,0.04,1.0,5.0,7,13,1.86,1715,245.0,279.29,34.29,0.23,60,2
53,d2e753bb80b7d4faa77483ed00edc8ca,225,14,0.06,1.0,3.71,14,15,1.07,1321,94.36,126.71,32.36,0.07,108,3
54,"""762fafdaa57a532ee0119731697579dd""",65,5,0.08,1.0,5.0,5,5,1.0,208,41.6,52.4,10.8,0.0,23,3
55,"""9b522ba7eae9e1d04082f267144583cc""",133,2,0.02,1.0,2.5,2,3,1.5,1379,689.5,748.0,58.5,0.33,146,-28
56,c8025364abeecb115431bf95c11a747f,86,2,0.02,1.0,4.0,2,2,1.0,928,464.0,486.0,22.0,0.5,24,3
57,"""09883d9ab71c8fe8a9bfc7fc3075b07e""",78,2,0.03,1.0,2.5,2,2,1.0,140,70.0,80.5,10.5,0.0,288,3
58,"""52d76513f0c4d97f3b99570e2c94ee31""",340,16,0.05,1.12,3.57,18,27,1.5,8055,447.5,496.11,48.61,0.04,18,4
59,e3e290b38963293022cdcd6db8328103,6,2,0.33,1.5,2.5,3,3,1.0,136,45.33,60.67,15.33,0.0,274,3
60,e0b162a693bc7f9eab00f783a31d60ea,1,1,1.0,1.0,5.0,1,1,1.0,20,20.0,50.0,30.0,0.0,122,6
61,"""5d3bb11474a06bdc23fb9e89f1164ee0""",342,24,0.07,1.04,3.5,25,26,1.04,2855,114.2,131.6,17.4,0.04,21,3
62,c60b801f2d52c7f7f91de00870882a75,207,33,0.16,1.18,3.9,39,39,1.0,11297,289.67,307.59,17.92,0.21,13,1
63,"""30c7f28fd3a5897b2c82d152bb760c17""",73,5,0.07,1.0,2.0,5,5,1.0,1160,232.0,274.2,42.2,0.6,277,-2
64,"""669ae81880e08f269a64487cfb287169""",340,65,0.19,1.18,3.76,77,90,1.17,5860,76.1,97.39,21.29,0.06,24,4
65,"""04fdea0c111866e6cf812f1570d6b5bd""",111,8,0.07,1.0,3.0,8,8,1.0,865,108.12,129.75,21.62,0.12,214,0
66,"""5a4236931428800e9d9cc04af0987118""",1,1,1.0,1.0,2.5,1,3,3.0,45,45.0,90.0,45.0,0.0,48,5
67,"""651530bf5c607240ccdd89a30c9c9712""",1,1,1.0,1.0,4.0,1,1,1.0,200,200.0,225.0,25.0,0.0,25,5
68,"""7040e82f899a04d1b434b795a43b4617""",350,130,0.37,1.6,3.96,208,223,1.07,9236,44.4,59.34,14.93,0.09,6,3
69,"""066a6914e1ebf3ea95a216c73a986b91""",315,28,0.09,1.04,4.86,29,33,1.14,3051,105.21,132.69,27.48,0.03,24,3
70,"""2d34636518ba88f5349b732fcf8ba2e4""",1,1,1.0,1.0,2.5,1,1,1.0,150,150.0,169.0,19.0,0.0,125,6
71,"""044668ccd5316b12a7cf0d54a156e3e9""",13,3,0.23,1.0,5.0,3,4,1.33,138,46.0,63.33,17.33,0.0,14,6
72,"""4a3ca9315b744ce9f8e9374361493884""",359,334,0.93,3.42,3.69,1142,1262,1.11,126273,110.57,131.67,21.09,0.15,7,3
73,c3cfdc648177fdbbbb35635a37472c53,359,122,0.34,1.25,4.33,152,167,1.1,24662,162.25,184.7,22.45,0.02,7,5
74,"""0691148aee60ca47977c187804f935ae""",277,43,0.16,1.09,4.29,47,54,1.15,5909,125.72,158.64,32.91,0.04,7,4
75,"""55f7a3319d80f7fdf078b8f03e6725fe""",52,17,0.33,1.29,3.17,22,22,1.0,3003,136.5,154.82,18.32,0.09,12,2
76,"""2c3d56f92f360fb89d849b84e8f50eae""",168,7,0.04,1.0,2.25,7,7,1.0,428,61.14,77.0,15.86,0.29,164,5
77,"""1976a05ecf2996d6ffb7b5430e635fe7""",6,2,0.33,1.0,5.0,2,3,1.5,679,339.5,438.5,99.0,0.0,354,5
78,"""5dc203c7b84a0e71e878a179de05fb9a""",70,5,0.07,1.0,5.0,5,5,1.0,422,84.4,109.8,25.4,0.0,27,4
79,c004e5ea15737026cecaee0447e00b75,1,1,1.0,1.0,2.5,1,1,1.0,2350,2350.0,2455.0,105.0,1.0,24,-18
80,"""9ef932e837d8b7f392c0bfee9d359dc2""",1,1,1.0,1.0,3.0,1,1,1.0,60,60.0,80.0,20.0,1.0,287,3
81,"""377bc18334c78dd2f1535ef22a3ad225""",1,1,1.0,1.0,5.0,1,1,1.0,136,136.0,224.0,88.0,0.0,16,1
82,fd386aa7bed2af3c7035c65506c9b4a3,187,54,0.29,1.28,4.41,69,76,1.1,2306,33.42,47.88,14.46,0.11,6,2
83,"""8c16d1f32a54d92897cc437244442e1b""",341,61,0.18,1.26,4.64,77,82,1.06,4250,55.19,74.79,19.6,0.0,10,4
84,b83cedfb587e7911540e3f576d6917ce,254,13,0.05,1.08,4.5,14,14,1.0,1318,94.14,106.43,12.29,0.14,112,3
85,adbe70ab2c97442046d393988c8d1d27,36,5,0.14,1.0,5.0,5,5,1.0,290,58.0,70.8,12.8,0.0,326,4
86,b3b17aab11f273023a5f22ca52e1eb70,136,7,0.05,1.0,5.0,7,13,1.86,6850,978.57,1046.43,67.86,0.15,86,4
87,c0aff2da32c17759d30b22fb0af6649d,73,4,0.05,1.0,3.67,4,5,1.25,189,47.25,67.75,20.5,0.0,12,4
